ARLENE%2005/06/08 2100%17.2%-84.0%28
ARLENE%2005/06/09 0300%17.6%-83.9%34
ARLENE%2005/06/09 0900%18.6%-83.9%34
ARLENE%2005/06/09 1200%19.1%-84.0%40
ARLENE%2005/06/09 1500%19.4%-84.1%40
ARLENE%2005/06/09 2100%20.2%-84.2%40
ARLENE%2005/06/10 0300%20.8%-84.3%40
ARLENE%2005/06/10 0900%21.6%-84.8%46
ARLENE%2005/06/10 1500%24.0%-84.9%57
ARLENE%2005/06/10 2100%25.7%-85.2%63
ARLENE%2005/06/11 0300%27.1%-86.1%69
ARLENE%2005/06/11 0900%28.4%-87.1%69
ARLENE%2005/06/11 1500%29.6%-87.4%69
ARLENE%2005/06/11 2100%30.7%-87.4%51
ARLENE%2005/06/12 0300%32.2%-87.6%28
BRET%2005/06/28 2200%19.9%-95.7%34
BRET%2005/06/29 0300%20.0%-95.9%40
BRET%2005/06/29 0900%20.6%-96.7%40
BRET%2005/06/29 1500%21.0%-97.6%34
BRET%2005/06/29 2100%21.8%-98.6%28
BRET%2005/06/30 0300%22.3%-98.5%28
CINDY%2005/07/03 2100%18.4%-87.1%34
CINDY%2005/07/04 0300%18.9%-87.5%34
CINDY%2005/07/04 0900%19.6%-88.1%34
CINDY%2005/07/04 1500%20.7%-89.2%28
CINDY%2005/07/04 2100%22.8%-89.2%34
CINDY%2005/07/05 0300%23.9%-89.7%34
CINDY%2005/07/05 0900%25.6%-90.4%40
CINDY%2005/07/05 1500%27.0%-90.4%51
CINDY%2005/07/05 2100%28.2%-90.3%69
CINDY%2005/07/06 0300%29.0%-90.1%69
CINDY%2005/07/06 0900%30.1%-89.7%57
CINDY%2005/07/06 1500%31.4%-88.4%34
DENNIS%2005/07/05 0300%12.5%-63.1%28
DENNIS%2005/07/05 0900%12.6%-64.4%34
DENNIS%2005/07/05 1500%13.3%-66.6%40
DENNIS%2005/07/05 2100%14.2%-68.3%40
DENNIS%2005/07/06 0300%14.6%-69.2%51
DENNIS%2005/07/06 0900%15.1%-70.3%63
DENNIS%2005/07/06 1500%15.4%-71.5%69
DENNIS%2005/07/06 2100%16.0%-72.5%63
DENNIS%2005/07/06 2200%16.1%-72.5%80
DENNIS%2005/07/07 0300%16.5%-73.4%86
DENNIS%2005/07/07 0900%17.0%-74.6%92
DENNIS%2005/07/07 1500%18.0%-75.6%103
DENNIS%2005/07/07 2100%19.0%-76.6%115
DENNIS%2005/07/08 0300%19.9%-77.6%132
DENNIS%2005/07/08 0900%20.7%-79.1%132
DENNIS%2005/07/08 1500%21.4%-79.9%149
DENNIS%2005/07/08 2100%22.6%-81.1%132
DENNIS%2005/07/09 0300%23.0%-82.1%109
DENNIS%2005/07/09 0900%23.9%-82.9%92
DENNIS%2005/07/09 1500%24.7%-83.8%92
DENNIS%2005/07/09 2100%25.7%-84.6%103
DENNIS%2005/07/09 2300%26.1%-84.9%115
DENNIS%2005/07/10 0300%26.6%-85.3%126
DENNIS%2005/07/10 0900%27.8%-86.1%143
DENNIS%2005/07/10 1500%29.4%-86.7%138
DENNIS%2005/07/10 2100%30.8%-87.2%103
DENNIS%2005/07/11 0300%32.3%-87.8%51
DENNIS%2005/07/11 0900%33.3%-88.3%34
EMILY%2005/07/11 0300%10.8%-42.9%28
EMILY%2005/07/11 0900%10.8%-43.6%34
EMILY%2005/07/11 1500%10.3%-44.7%34
EMILY%2005/07/11 2100%10.6%-46.0%34
EMILY%2005/07/12 0300%11.3%-47.0%46
EMILY%2005/07/12 0900%11.4%-48.6%46
EMILY%2005/07/12 1500%11.0%-51.3%51
EMILY%2005/07/12 2100%11.1%-52.8%51
EMILY%2005/07/13 0300%10.7%-54.7%57
EMILY%2005/07/13 0900%11.1%-56.3%57
EMILY%2005/07/13 1500%11.2%-58.1%57
EMILY%2005/07/13 2100%11.4%-59.8%57
EMILY%2005/07/14 0300%11.9%-61.1%92
EMILY%2005/07/14 0900%12.3%-62.3%92
EMILY%2005/07/14 1500%12.7%-64.0%97
EMILY%2005/07/14 2100%13.3%-65.9%115
EMILY%2005/07/15 0300%13.6%-67.5%126
EMILY%2005/07/15 0900%13.9%-69.2%132
EMILY%2005/07/15 1500%14.4%-70.9%126
EMILY%2005/07/15 2100%14.7%-72.8%103
EMILY%2005/07/16 0300%15.1%-74.2%132
EMILY%2005/07/16 0900%15.6%-75.8%138
EMILY%2005/07/16 1500%16.2%-77.3%143
EMILY%2005/07/16 2100%16.8%-78.8%155
EMILY%2005/07/17 0300%17.5%-80.3%155
EMILY%2005/07/17 0900%18.0%-82.0%149
EMILY%2005/07/17 1500%18.6%-83.6%149
EMILY%2005/07/17 2100%19.4%-85.2%143
EMILY%2005/07/18 0300%19.9%-86.5%132
EMILY%2005/07/18 0900%20.6%-88.0%109
EMILY%2005/07/18 1500%21.8%-89.6%97
EMILY%2005/07/18 2100%22.3%-91.0%74
EMILY%2005/07/19 0300%22.9%-92.1%92
EMILY%2005/07/19 0900%23.5%-93.5%92
EMILY%2005/07/19 1500%23.9%-94.5%92
EMILY%2005/07/19 2100%24.3%-95.6%97
EMILY%2005/07/19 2300%24.5%-96.0%126
EMILY%2005/07/20 0300%24.5%-96.4%126
EMILY%2005/07/20 0900%24.7%-97.2%126
EMILY%2005/07/20 1500%25.0%-98.1%103
EMILY%2005/07/20 2100%25.0%-99.2%69
EMILY%2005/07/21 0300%25.0%-100.2%51
EMILY%2005/07/21 0900%25.0%-101.1%34
EMILY%2005/07/21 1500%25.0%-101.2%28
FRANKLIN%2005/07/21 2100%25.3%-75.4%34
FRANKLIN%2005/07/22 0000%25.8%-76.0%46
FRANKLIN%2005/07/22 0300%26.1%-76.3%46
FRANKLIN%2005/07/22 0900%26.7%-77.3%46
FRANKLIN%2005/07/22 1500%26.8%-77.0%51
FRANKLIN%2005/07/22 2100%27.8%-76.7%51
FRANKLIN%2005/07/23 0300%28.4%-76.5%51
FRANKLIN%2005/07/23 0900%29.1%-75.9%51
FRANKLIN%2005/07/23 1500%29.4%-75.0%69
